Time,avgI1rd,avgI2rd,avgDrd
5.066667e+01,2.433358e+02,2.157809e+02,2.103285e+02
5.083333e+01,2.441703e+02,2.165827e+02,2.110491e+02
5.100000e+01,2.449727e+02,2.173683e+02,2.119161e+02
5.116667e+01,2.457355e+02,2.181576e+02,2.126179e+02
5.133333e+01,2.465792e+02,2.190030e+02,2.133845e+02
5.150000e+01,2.473777e+02,2.198842e+02,2.142086e+02
5.166667e+01,2.481889e+02,2.205086e+02,2.149629e+02
5.183333e+01,2.489285e+02,2.213127e+02,2.155950e+02
5.200000e+01,2.496831e+02,2.220600e+02,2.163577e+02
5.216667e+01,2.503553e+02,2.228392e+02,2.170847e+02
5.233333e+01,2.511246e+02,2.235942e+02,2.178488e+02
5.250000e+01,2.517683e+02,2.242872e+02,2.187215e+02
5.266667e+01,2.524123e+02,2.251053e+02,2.196104e+02
5.283333e+01,2.529961e+02,2.258401e+02,2.204307e+02
5.300000e+01,2.535164e+02,2.265915e+02,2.212285e+02
5.316667e+01,2.540658e+02,2.273551e+02,2.219719e+02
5.333333e+01,2.546815e+02,2.281476e+02,2.227770e+02
5.350000e+01,2.552694e+02,2.288413e+02,2.235409e+02
5.366667e+01,2.557422e+02,2.295184e+02,2.243063e+02
5.383333e+01,2.562682e+02,2.302101e+02,2.250629e+02
5.400000e+01,2.568339e+02,2.308894e+02,2.258760e+02
5.416667e+01,2.573354e+02,2.315708e+02,2.265599e+02
5.433333e+01,2.578174e+02,2.323838e+02,2.272942e+02
5.450000e+01,2.582744e+02,2.330731e+02,2.281413e+02
5.466667e+01,2.588136e+02,2.337502e+02,2.288559e+02
5.483333e+01,2.593370e+02,2.344192e+02,2.295600e+02
5.500000e+01,2.597381e+02,2.351026e+02,2.303552e+02
5.516667e+01,2.603036e+02,2.357334e+02,2.310093e+02
5.533333e+01,2.607710e+02,2.365099e+02,2.317995e+02
5.550000e+01,2.612320e+02,2.372174e+02,2.325173e+02
5.566667e+01,2.616794e+02,2.378747e+02,2.331612e+02
5.583333e+01,2.621023e+02,2.386762e+02,2.338278e+02
5.600000e+01,2.624901e+02,2.392477e+02,2.345862e+02
5.616667e+01,2.629245e+02,2.400068e+02,2.352528e+02
5.633333e+01,2.633654e+02,2.405910e+02,2.359500e+02
5.650000e+01,2.637603e+02,2.411579e+02,2.365906e+02
5.666667e+01,2.641456e+02,2.417373e+02,2.371872e+02
5.683333e+01,2.645267e+02,2.423370e+02,2.377883e+02
5.700000e+01,2.649704e+02,2.430177e+02,2.384641e+02
5.716667e+01,2.653233e+02,2.435672e+02,2.390420e+02
5.733333e+01,2.656578e+02,2.441644e+02,2.395129e+02
5.750000e+01,2.660332e+02,2.447348e+02,2.401202e+02
5.766667e+01,2.664707e+02,2.452843e+02,2.407735e+02
5.783333e+01,2.668181e+02,2.459317e+02,2.413380e+02
5.800000e+01,2.671669e+02,2.465095e+02,2.419821e+02
5.816667e+01,2.675455e+02,2.470880e+02,2.425576e+02
5.833333e+01,2.679200e+02,2.476130e+02,2.431042e+02
5.850000e+01,2.682228e+02,2.482332e+02,2.437671e+02
5.866667e+01,2.685519e+02,2.487097e+02,2.443540e+02
5.883333e+01,2.688380e+02,2.492926e+02,2.448596e+02
5.900000e+01,2.692054e+02,2.498207e+02,2.454011e+02
5.916667e+01,2.694535e+02,2.504392e+02,2.459705e+02
5.933333e+01,2.697723e+02,2.509515e+02,2.466025e+02
5.950000e+01,2.700660e+02,2.514381e+02,2.471112e+02
5.966667e+01,2.703398e+02,2.519370e+02,2.476072e+02
5.983333e+01,2.706011e+02,2.524350e+02,2.481196e+02
6.000000e+01,2.709044e+02,2.529565e+02,2.486483e+02
6.016667e+01,2.712497e+02,2.535202e+02,2.491145e+02
6.033333e+01,2.715716e+02,2.539605e+02,2.496257e+02
6.050000e+01,2.719019e+02,2.544282e+02,2.500900e+02
6.066667e+01,2.721073e+02,2.549269e+02,2.505802e+02
6.083333e+01,2.723826e+02,2.553592e+02,2.510827e+02
6.100000e+01,2.726385e+02,2.558729e+02,2.515008e+02
6.116667e+01,2.728958e+02,2.563110e+02,2.519446e+02
6.133333e+01,2.731336e+02,2.568116e+02,2.523990e+02
6.150000e+01,2.734271e+02,2.572834e+02,2.528734e+02
6.166667e+01,2.736924e+02,2.577877e+02,2.533186e+02
6.183333e+01,2.739000e+02,2.581875e+02,2.537574e+02
6.200000e+01,2.741491e+02,2.585977e+02,2.541785e+02
6.216667e+01,2.744398e+02,2.590128e+02,2.545877e+02
6.233333e+01,2.746468e+02,2.594640e+02,2.550262e+02
6.250000e+01,2.749213e+02,2.597840e+02,2.554527e+02
6.266667e+01,2.751366e+02,2.601826e+02,2.558524e+02
6.283333e+01,2.753794e+02,2.605457e+02,2.562589e+02
6.300000e+01,2.755770e+02,2.608881e+02,2.566368e+02
6.316667e+01,2.757606e+02,2.613416e+02,2.570569e+02
6.333333e+01,2.759735e+02,2.617615e+02,2.575005e+02
6.350000e+01,2.761586e+02,2.621697e+02,2.578303e+02
6.366667e+01,2.763521e+02,2.625701e+02,2.583058e+02
6.383333e+01,2.765318e+02,2.630824e+02,2.587048e+02
6.400000e+01,2.767509e+02,2.634832e+02,2.591123e+02
6.416667e+01,2.769234e+02,2.638182e+02,2.594898e+02
6.433333e+01,2.771750e+02,2.641691e+02,2.598851e+02
6.450000e+01,2.773283e+02,2.644870e+02,2.602816e+02
6.466667e+01,2.774867e+02,2.648334e+02,2.606886e+02
6.483333e+01,2.776380e+02,2.651217e+02,2.610327e+02
6.500000e+01,2.777996e+02,2.655104e+02,2.614074e+02
6.516667e+01,2.779955e+02,2.658537e+02,2.616885e+02
6.533333e+01,2.781895e+02,2.661391e+02,2.620513e+02
6.550000e+01,2.783131e+02,2.664224e+02,2.623518e+02
6.566667e+01,2.784623e+02,2.667215e+02,2.626865e+02
6.583333e+01,2.786388e+02,2.670846e+02,2.630425e+02
6.600000e+01,2.788016e+02,2.673294e+02,2.633672e+02
6.616667e+01,2.789488e+02,2.676668e+02,2.637150e+02
6.633333e+01,2.791268e+02,2.680073e+02,2.640317e+02
6.650000e+01,2.792636e+02,2.682690e+02,2.643841e+02
6.666667e+01,2.794003e+02,2.685856e+02,2.646422e+02
6.683333e+01,2.795251e+02,2.688664e+02,2.649253e+02
6.700000e+01,2.796326e+02,2.692000e+02,2.651325e+02
6.716667e+01,2.797402e+02,2.694908e+02,2.654043e+02
